PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS,LATITUDE,LONGITUDE
Condo/Co-op,45 W 3rd St #402,Boston,MA,2127,1235000,2,2,South Boston,1125,,2018,7,1098,634,http://www.redfin.com/MA/South-Boston/45-W-3rd-St-02127/unit-402/home/145125932,72895550,42.3421319,-71.0542886
Condo/Co-op,510 Columbus Ave #2,Boston,MA,2118,1149000,2,1,South End,980,,1899,7,1172,215,http://www.redfin.com/MA/Boston/510-Columbus-Ave-02118/unit-2/home/9284204,72895545,42.3421123,-71.079466
Condo/Co-op,53 Mount Ida Rd #2,Boston,MA,2122,379000,1,1,Dorchester,781,,1905,7,485,130,http://www.redfin.com/MA/Dorchester/53-Mt-Ida-Rd-02122/unit-2/home/9063701,72895523,42.3051956,-71.0646569
Condo/Co-op,16 Boardman #305,Boston,MA,2128,624000,2,2,East Boston's Orient Heights,980,,2019,7,637,294,http://www.redfin.com/MA/Boston/16-Boardman-St-02128/unit-305/home/146043754,72895521,42.3874289,-71.0089407
Condo/Co-op,987 Memorial Dr #172,Cambridge,MA,2138,2499000,3,2,Harvard Square,2050,,1900,7,1219,1294,http://www.redfin.com/MA/Cambridge/987-Memorial-Dr-02138/unit-172/home/11575153,72895498,42.3729437,-71.1257596
Condo/Co-op,111 Perkins St #025,Boston,MA,2130,399000,2,1,Jamaica Plain,1068,,1963,7,374,1318,http://www.redfin.com/MA/Jamaica-Plain/111-Perkins-St-02130/unit-25/home/35624553,72895497,42.3222155,-71.1159742
Condo/Co-op,15 Saint George St #4,Boston,MA,2118,699000,2,1,South End,625,,1899,7,1118,260,http://www.redfin.com/MA/Boston/15-St-George-St-02118/unit-4/home/11736644,72895493,42.3381331,-71.0723697
Condo/Co-op,472 E 8Th St #2,Boston,MA,2127,724000,2,2,South Boston,1073,,1945,7,675,155,http://www.redfin.com/MA/Boston/472-E-8th-St-02127/unit-2/home/11737365,72895485,42.3314537,-71.0421568
Condo/Co-op,81 Homes #2,Boston,MA,2122,579900,3,2,Boston,1094,,1900,7,530,175,http://www.redfin.com/MA/Dorchester/81-Homes-Ave-02122/unit-2/home/11838216,72895470,42.3030357,-71.0676746
Single Family Residential,47 Bynner St,Boston,MA,2130,1149000,3,1.5,Jamaica Plain,2216,4352,1814,7,519,,http://www.redfin.com/MA/Jamaica-Plain/47-Bynner-St-02130/home/9140923,72895479,42.3236876,-71.1104546
Multi-Family (2-4 Unit),516 Sumner St,Boston,MA,2128,939000,6,3,Boston,2771,2500,1900,7,339,,http://www.redfin.com/MA/Boston/516-Sumner-St-02128/home/9111274,72895461,42.3649259,-71.030071
Condo/Co-op,895 E 4Th St #1,Boston,MA,2127,919000,2,2,South Boston,1200,,1914,7,766,200,http://www.redfin.com/MA/Boston/895-E-4th-St-02127/unit-1/home/40185239,72895462,42.3347239,-71.0275136
